smiles,affinity,iteration
O=C(OCCc1ccc(F)cc1I)c1[nH]c2c(Br)cccc2c1CCCO,-33.64197589676195,150
O=C(OCc1c(F)cc(Cl)cc1F)c1[nH]c2c(Br)cccc2c1CCCO,-41.6962100173334,151
O=C(OCc1cc(Cl)c(F)cc1F)c1[nH]c2c(Br)cccc2c1CCCO,-40.86998160819051,152
O=C(OCc1c(F)cc(F)cc1F)c1[nH]c2c(Br)cccc2c1CCCO,-39.00444860571426,153
O=C(OCc1c(F)ccc(Cl)c1Br)c1[nH]c2c(Br)cccc2c1CCCO,-43.75316043219051,154
O=C(OCc1c(F)ccc(Br)c1Cl)c1[nH]c2c(Br)cccc2c1CCCO,-49.23936237885717,155
O=C(OCc1cc(F)c(Cl)cc1Cl)c1[nH]c2c(Br)cccc2c1CCCO,-37.2004303914285,156
O=C(OCc1c(F)ccc(Br)c1F)c1[nH]c2c(Br)cccc2c1CCCO,-42.37982156914283,157
O=C(OCc1c(F)c(F)c(Br)c(F)c1F)c1[nH]c2c(Br)cccc2c1CCCO,-34.8355304026667,158
O=C(OCc1cc(F)ccc1Cl)c1[nH]c2c(Br)cccc2c1CCCO,-42.335136871238106,159
O=C(OCc1cccc(F)c1F)c1[nH]c2c(Br)cccc2c1CCCO,-39.94189255847621,160
O=C(OCc1c(Cl)ccc(Cl)c1Cl)c1[nH]c2c(Br)cccc2c1CCCO,-48.823495144380985,161
O=C(OCc1cc(Cl)cc(Cl)c1Cl)c1[nH]c2c(Br)cccc2c1CCCO,-43.358735814857134,162
O=C(OCc1cc(Cl)cc(Cl)c1Br)c1[nH]c2c(Br)cccc2c1CCCO,-39.46125965676189,163
O=C(OCc1c(Cl)cc(Cl)cc1Cl)c1[nH]c2c(Br)cccc2c1CCCO,-46.44817981447616,164
O=C(OCc1c(Cl)cc(Br)cc1Cl)c1[nH]c2c(Br)cccc2c1CCCO,-36.1530322365714,165
O=C(OCc1cc(Cl)c(F)c(Cl)c1)c1[nH]c2c(Br)cccc2c1CCCO,-36.22703154152384,166
C[C@@H](OC(=O)c1[nH]c2c(Br)cccc2c1CCCO)c1c(Cl)ccc(F)c1Cl,-34.14461899314291,167
O=C(OCc1ccc(Cl)cc1I)c1[nH]c2c(Br)cccc2c1CCCO,-41.78172568266666,168
O=C(OCc1cccc(Cl)c1Br)c1[nH]c2c(Br)cccc2c1CCCO,-43.08993214609521,169
O=C(OCc1cc(Cl)ccc1I)c1[nH]c2c(Br)cccc2c1CCCO,-35.11503448666666,170
O=C(OCc1cccc(F)c1Cl)c1[nH]c2c(Br)cccc2c1CCCO,-45.65371317180952,171
O=C(OCc1cccc(Br)c1Cl)c1[nH]c2c(Br)cccc2c1CCCO,-32.76673151619046,172
O=C(OCc1csc2c(F)cccc12)c1[nH]c2c(Br)cccc2c1CCCO,-40.65304333961902,173
O=C(OCc1cc(F)c(Cl)cc1F)c1[nH]c2c(Br)cccc2c1CCCO,-31.82191281657149,174
O=C(OCc1cc(I)ccc1Br)c1[nH]c2c(Br)cccc2c1CCCO,-41.104215903047645,175
O=C(OCc1cc(I)ccc1Cl)c1[nH]c2c(Br)cccc2c1CCCO,-41.24408561009521,176
O=C(OCc1csc2cccc(Cl)c12)c1[nH]c2c(Br)cccc2c1CCCO,-41.41221095295239,177
O=C(OCc1cccc(Br)c1Br)c1[nH]c2c(Br)cccc2c1CCCO,-37.09772369523801,178
O=C(OCc1csc2ccc(F)cc12)c1[nH]c2c(Br)cccc2c1CCCO,-36.57575892628576,179
O=C(OCc1cc(F)cc(C(F)(F)F)c1)c1[nH]c2c(Br)cccc2c1CCCO,-42.894062512761934,180
O=C(OCc1c(Cl)ccc([N+](=O)[O-])c1Cl)c1[nH]c2c(Br)cccc2c1CCCO,-51.49936725428576,181
O=C(OCc1cccc([N+](=O)[O-])c1Cl)c1[nH]c2c(Br)cccc2c1CCCO,-39.83954372647619,182
O=C(OCc1cccc(Cl)c1[N+](=O)[O-])c1[nH]c2c(Br)cccc2c1CCCO,-33.10630882628566,183
O=C(OCc1cccc(C(F)(F)F)c1Cl)c1[nH]c2c(Br)cccc2c1CCCO,-29.61609702057143,184
O=C(OCc1c(F)cc([N+](=O)[O-])cc1F)c1[nH]c2c(Br)cccc2c1CCCO,-30.0958170283809,185
O=C(OCc1c(Cl)cccc1Br)c1[nH]c2c(Br)cccc2c1CCCO,-44.34454698933333,186
O=C(OCc1cc(Cl)c(Cl)cc1Cl)c1[nH]c2c(Br)cccc2c1CCCO,-33.70310223676192,187
Cc1c(Br)ncc(F)c1COC(=O)c1[nH]c2c(Br)cccc2c1CCCO,-23.708424270285697,188
O=C(OCc1csc2c(Br)cccc12)c1[nH]c2c(Br)cccc2c1CCCO,-34.92435398342854,189
O=C(OCc1cccc(Cl)c1Cl)c1[nH]c2c(Br)cccc2c1CCCO,-26.40028359371426,190
O=C(OCc1c(F)cccc1Br)c1[nH]c2c(Br)cccc2c1CCCO,-41.4171026521905,191
O=C(OCc1ccccc1C1CC1)c1[nH]c2c(Br)cccc2c1CCCO,-42.61935394552381,192
O=C(OCc1ccc(F)c(I)c1)c1[nH]c2c(Br)cccc2c1CCCO,-43.63351808666666,193
O=C(OCc1c(Br)ccc(F)c1F)c1[nH]c2c(Br)cccc2c1CCCO,-43.06839683961916,194
O=C(OCc1c(Br)ccc(Cl)c1F)c1[nH]c2c(Br)cccc2c1CCCO,-49.410258420000034,195
O=C(OCc1c(Cl)ccc(Br)c1F)c1[nH]c2c(Br)cccc2c1CCCO,-31.888066441523783,196
O=C(OCc1cc(I)ccc1F)c1[nH]c2c(Br)cccc2c1CCCO,-41.16322802895236,197
O=C(OCc1cc(F)cc(F)c1)c1[nH]c2c(Br)cccc2c1CCCO,-36.73579898133336,198
C[C@H](OC(=O)c1[nH]c2c(Br)cccc2c1CCCO)c1c(Cl)ccc(F)c1Cl,-34.06119676723808,199
O=C(OCc1cc(Br)cc(I)c1)c1[nH]c2c(Br)cccc2c1CCCO,-39.929059038666665,200
O=C(OCc1c(F)cc(Br)cc1F)c1[nH]c2c(Br)cccc2c1CCCO,-33.5065584739048,201
O=C(OCc1cccc(O)c1Br)c1[nH]c2c(Br)cccc2c1CCCO,-28.037052312952436,202
O=C(OCc1ccc(C2CC2)cc1)c1[nH]c2c(Br)cccc2c1CCCO,-42.77681305885709,203
O=C(OCc1ccc(C(F)F)cc1)c1[nH]c2c(Br)cccc2c1CCCO,-40.21781868857141,204
O=C(OCc1ccccc1C(F)F)c1[nH]c2c(Br)cccc2c1CCCO,-35.055446459238155,205
O=C(OCC#CC1CCCCC1)c1[nH]c2c(Br)cccc2c1CCCO,-35.88040467542859,206
O=C(OCc1ccc(I)cc1Cl)c1[nH]c2c(Br)cccc2c1CCCO,-32.59465573561914,207
O=C(OCc1cc(F)c(F)cc1F)c1[nH]c2c(Br)cccc2c1CCCO,-43.37989982304766,208
O=C(OCc1c(F)cccc1F)c1[nH]c2c(Br)cccc2c1CCCO,-35.34955990438101,209
Cc1ccc(F)c(COC(=O)c2[nH]c3c(Br)cccc3c2CCCO)c1Br,-47.72319082190482,210
