Cc1[nH]c2ccccc2c1CCN	ZINCdp000001nXuP,0.4482758620689655
Cc1ccc2cc(C(=O)O)[nH]c2c1	ZINCdr000000IY2t,0.4482758620689655
Cc1c(CO)[nH]c2ccc(F)cc12	ZINCdr000000IXZC,0.4482758620689655
Cc1cccc2[nH]c(C(=O)O)cc12	ZINCdr000000IY2T,0.4482758620689655
Cc1cccc2cc(C(=O)O)[nH]c12	ZINCdr000000IY30,0.4482758620689655
Cc1c(C(=O)O)[nH]c2ccccc12	ZINCdr000000IXZz,0.5
Cc1ccc2[nH]c(C(=O)O)cc2c1	ZINCdr000000IY2d,0.4482758620689655
CC(=O)COc1cc(C)cc(C)c1	ZINCds000000IYlw,0.41379310344827586
CC(=O)Cc1c[nH]c2ccccc12	ZINCds000000IYlB,0.4482758620689655
CCCOC1C[C@H](C)C(O)[C@@H](C)C1	ZINCds000000IYq5,0.41379310344827586
CCCOC1C[C@H](C)C(O)[C@H](C)C1	ZINCds000000JDH8,0.41379310344827586
Cc1c(CO)[nH]c2c(C)cccc12	ZINCds000000IYDm,0.4482758620689655
Cc1cc(OCCN)cc(C)c1Cl	ZINCds000000IYET,0.41379310344827586
O=CCCc1c[nH]c2ccccc12	ZINCds000000IYSJ,0.4482758620689655
CCCOC1C[C@@H](C)C(O)[C@H](C)C1	ZINCds000000IYq4,0.41379310344827586
CCCO[C@@H]1C[C@H](C)[C@@H](O)[C@H](C)C1	ZINCds000000IYqa,0.41379310344827586
CCCO[C@@H]1C[C@H](C)[C@H](O)[C@H](C)C1	ZINCds000000IYqb,0.41379310344827586
CCCO[C@H]1C[C@H](C)[C@@H](O)[C@H](C)C1	ZINCds000000IYqc,0.41379310344827586
Cc1cc(OCCO)cc(C)c1Cl	ZINCdt000000wUse,0.41379310344827586
NCCc1c[nH]c2cc(Cl)ccc12	ZINCdt000000IZsi,0.4482758620689655
OCCc1c[nH]c2cc(Cl)ccc12	ZINCdt000000IZz0,0.4482758620689655
Cc1ccc2[nH]c(C=O)c(C)c2c1	ZINCdv000000J0An,0.4482758620689655
O=C(O)c1cc2c(Cl)cccc2[nH]1	ZINCdv000000J0ID,0.4482758620689655
O=C(O)c1cc2cc(Cl)ccc2[nH]1	ZINCdv000000J0IE,0.4482758620689655
O=C(O)c1cc2cccc(Cl)c2[nH]1	ZINCdv000000J0IH,0.4482758620689655
Cc1c(C=O)[nH]c2c(C)cccc12	ZINCdv000000J0xp,0.4482758620689655
Cc1cc(OCC=O)cc(C)c1Cl	ZINCdv000000wUOh,0.41379310344827586
O=C(O)c1[nH]c2ccccc2c1Cl	ZINCdv000000J0Il,0.4482758620689655
Cc1cc(C)cc(OCCC#N)c1	ZINCdv000000279e,0.41379310344827586
Cc1[nH]c2ccccc2c1CC#N	ZINCdv000000J0xd,0.4482758620689655
O=C(O)c1cc2ccc(Cl)cc2[nH]1	ZINCdv000000J0IG,0.5
CCC(=O)OC1C[C@H](C)C[C@@H](C)C1	ZINCdx0000002cPf,0.41379310344827586
CCC(=O)c1c[nH]c2ccccc12	ZINCdx000000J1os,0.4482758620689655
CCC(=O)OC1CC(C)CC(C)C1	ZINCdx0000016Lmx,0.41379310344827586
CCC(=O)OC1C[C@@H](C)C[C@H](C)C1	ZINCdx0000002cPe,0.41379310344827586
CCC(=O)O[C@@H]1C[C@@H](C)C[C@@H](C)C1	ZINCdx0000002cPQ,0.41379310344827586
Cc1c(CO)[nH]c2ccc(Br)cc12	ZINCdx000000J1An,0.4482758620689655
C#CCCOc1cc(C)cc(C)c1	ZINCdx0000002bEX,0.41379310344827586
Cc1cc(OCC#N)cc(C)c1Cl	ZINCdy000000wVgH,0.41379310344827586
CC(=O)Oc1cc(C)c(Cl)c(C)c1	ZINCdy0000002fJt,0.41379310344827586
N#CCc1c[nH]c2cc(Cl)ccc12	ZINCdy000000J29l,0.4482758620689655
CC(=O)c1c[nH]c2cc(Cl)ccc12	ZINCdA000000J2Iw,0.4482758620689655
C#CCCOc1ccc(Cl)c(C)c1	ZINCdA0000002lJq,0.41379310344827586
Cc1cc(C)cc(OC[C@@H](C)F)c1	ZINCdA0000002o4G,0.41379310344827586
CCCOc1ccc(Cl)c(C#N)c1	ZINCdA0000002n4O,0.41379310344827586
Cc1cc(C)cc(OCCCF)c1	ZINCdA0000002o4F,0.41379310344827586
Cc1cc(C)cc(OC[C@H](C)F)c1	ZINCdA0000002o4H,0.41379310344827586
C=C(C)COc1cc(C)cc(C)c1	ZINCdC0000002r0h,0.41379310344827586
C=CCCOc1cc(C)cc(C)c1	ZINCdC0000002rc1,0.41379310344827586
O=C(Cl)c1cc2ccc(Cl)cc2[nH]1	ZINCdC000000J3D8,0.4482758620689655
Cc1cc(OCCCF)ccc1Cl	ZINCdD0000002ufS,0.41379310344827586
Cc1cc(OC[C@@H](C)F)ccc1Cl	ZINCdD0000002ufV,0.41379310344827586
CCCOc1cc(C)c(S)c(C)c1	ZINCdD000000J3Kw,0.41379310344827586
Cc1cc(OC[C@H](C)F)ccc1Cl	ZINCdD0000002ufX,0.41379310344827586
Cc1cc(C)cc(OCC(C)C)c1	ZINCdD0000002uff,0.41379310344827586
Cc1cc(OCCF)cc(C)c1Cl	ZINCdD0000002ufU,0.41379310344827586
CCCCOc1cc(C)cc(C)c1	ZINCdE0000002uZz,0.41379310344827586
CC[C@H](C)Oc1cc(C)cc(C)c1	ZINCdE000000wVJj,0.41379310344827586
Cc1cc(C)cc(OCCCBr)c1	ZINCdE000000J42z,0.41379310344827586
CCCc1c(C)[nH]c2ccccc12	ZINCdE000000J3ZE,0.5
CCCOc1cc(C)cc(C)c1C	ZINCdE0000002v2z,0.41379310344827586
CC[C@@H](C)Oc1cc(C)cc(C)c1	ZINCdE000000wVJ7,0.41379310344827586
BrCCCc1c[nH]c2ccccc12	ZINCdE000000J3Vk,0.4482758620689655
C=CCOc1cc(C)c(Cl)c(C)c1	ZINCdF0000002vP7,0.41379310344827586
C=C(C)c1c(C)[nH]c2ccccc12	ZINCdF000001Cqya,0.4482758620689655
Cc1[nH]c2ccccc2c1C(C)C	ZINCdF000000J4cg,0.4482758620689655
CCCOc1cc(C)c(Cl)cc1F	ZINCdF0000002w8k,0.41379310344827586
CCCOc1ccc(Cl)c(CC)c1	ZINCdG0000002wRG,0.41379310344827586
Cc1cc(OCC(C)C)ccc1Cl	ZINCdG0000002x3C,0.41379310344827586
C=C(C)COc1ccc(Cl)c(C)c1	ZINCdG0000002wCR,0.41379310344827586
CCc1c(C)[nH]c2ccc(Cl)cc12	ZINCdG000000J4kC,0.4482758620689655
ClCCc1c[nH]c2cc(Cl)ccc12	ZINCdG000000J4my,0.4482758620689655
C=CCCOc1ccc(Cl)c(C)c1	ZINCdG0000002wFo,0.41379310344827586
CCCOc1cc(C)c(Cl)c(C)c1	ZINCdH0000002xrQ,0.4642857142857143
