name,orig_smiles,prot_smiles,mmgbsa_score,mmgbsa_score_sem,mmpbsa_score,mmpbsa_score_sem,vina_score
ZINClD000002VBO2,C[C@H](CC(=O)O[C@H]1CCO[C@@H]1C)c1c[nH]c2ccccc12,C[C@H](CC(=O)O[C@H]1CCO[C@@H]1C)c1c[nH]c2ccccc12,-33.28783068476188,0.34823587933532174,-26.534925476190438,0.30046778672940094,-9.167
ZINCnz00000jbAL9,CC/C=C/C(=O)N[C@H](Cc1c[nH]c2cc(Cl)ccc12)C(=O)OC,CC/C=C/C(=O)N[C@H](Cc1c[nH]c2cc(Cl)ccc12)C(=O)OC,-33.287355291047604,0.5120271107763357,-26.690200714285698,0.3588720871592393,-7.967
ZINCsy00000qRQup,CCn1nc(C)c(C(=O)COC(=O)c2[nH]c3c(Br)cccc3c2CCCO)n1,CCn1nc(C)c(C(=O)COC(=O)c2[nH]c3c(Br)cccc3c2CCCO)n1,-33.28722454476191,1.0394301002206026,-26.09635000000001,0.7770435298736296,-8.278
ZINCno000010wavv,O=C(N[C@H]1CCNOC1)c1[nH]c2c(Br)cccc2c1CCCO,O=C(N[C@H]1CCNOC1)c1[nH]c2c(Br)cccc2c1CCCO,-33.28670310476189,0.4090028143429892,-26.77543976190474,0.34900015882507335,-7.687
ZINCmF0000029jXq,CO[C@@H]1CC[C@@H](OC(=O)CCc2c[nH]c3c(C)cccc23)C1,CO[C@@H]1CC[C@@H](OC(=O)CCc2c[nH]c3c(C)cccc23)C1,-33.28636238457145,0.19933774476514887,-26.79162761904765,0.15140020150957234,-8.672
ZINCsP00001di9du,CC(=O)N[C@@H](Cc1c[nH]c2ccc(Br)cc12)C(=O)Oc1cccc(C(F)F)c1,CC(=O)N[C@@H](Cc1c[nH]c2ccc(Br)cc12)C(=O)Oc1cccc(C(F)F)c1,-33.28631807733335,0.6397465009719575,-26.649584761904777,0.46495941868993534,-9.068
ZINCtL0000003d20,CCC(=O)c1ccc(OC(=O)[C@H](Cc2c[nH]c3ccc(Br)cc23)NC(C)=O)cc1,CCC(=O)c1ccc(OC(=O)[C@H](Cc2c[nH]c3ccc(Br)cc23)NC(C)=O)cc1,-33.28617947999998,0.5240697447755482,-27.962880476190456,0.41843390606758973,-8.793
ZINCsB000005qNKJ,CCOC(=O)CCc1c(C(=O)OCC)[nH]c2c(N3CC(CC#N)C3)cccc12,CCOC(=O)CCc1c(C(=O)OCC)[nH]c2c(N3CC(CC#N)C3)cccc12,-33.28576702304762,0.2495639330332972,-28.826817142857134,0.31437742373410027,-7.139
ZINCsU00001dMMgQ,CCOc1ccc(COC(=O)c2[nH]c3c(Br)cccc3c2CCCO)cc1Cl,CCOc1ccc(COC(=O)c2[nH]c3c(Br)cccc3c2CCCO)cc1Cl,-33.28533495219048,0.43603973089523757,-26.768763809523808,0.3407051044685586,-8.23
ZINCnR0000048LbM,Cc1cccc2[nH]cc(CCC(=O)O[C@@H]3C[C@@H](C)CC[C@H]3C)c12,Cc1cccc2[nH]cc(CCC(=O)O[C@@H]3C[C@@H](C)CC[C@H]3C)c12,-33.28465663733333,0.2935161643055706,-25.875328809523808,0.32884971089082027,-9.688
ZINCoM00000TrdAY,CC[C@H](C)[C@H](C)CNC(=O)c1[nH]c2c(Br)cccc2c1CCCO,CC[C@H](C)[C@H](C)CNC(=O)c1[nH]c2c(Br)cccc2c1CCCO,-33.28462864819048,1.2892236195800428,-27.527024047619044,0.7970880993947674,-8.003
ZINCoT000006BVMc,Cc1ccc(C)c(OC(=O)CCc2c[nH]c3c(C)cccc23)c1C,Cc1ccc(C)c(OC(=O)CCc2c[nH]c3c(C)cccc23)c1C,-33.28462353257147,0.6349576428617943,-28.979658095238136,0.2926881143254907,-10.043
ZINCpt00000irMvP,Cc1cc2c(cc1OC(=O)CCc1c[nH]c(C)c1S(C)(=O)=O)OCO2,Cc1cc2c(cc1OC(=O)CCc1c[nH]c(C)c1S(C)(=O)=O)OCO2,-33.28406637885716,0.4889827978660546,-26.15593500000001,0.2958771503324038,-8.389
ZINCsL00001cZRst,COC(=O)Cc1cc(Br)ccc1OC(=O)CCc1c[nH]c2cc(OC)ccc12,COC(=O)Cc1cc(Br)ccc1OC(=O)CCc1c[nH]c2cc(OC)ccc12,-33.28352786742852,0.6805073331032134,-26.68695571428566,0.4344056246642737,-7.805
ZINCpJ000006ttXS,CC(=O)Nc1cccc(OC(=O)CCc2c(C)[nH]c3ccccc23)c1,CC(=O)Nc1cccc(OC(=O)CCc2c(C)[nH]c3ccccc23)c1,-33.28343688152386,0.3495574358257551,-26.93588476190481,0.3850552016201568,-9.524
ZINCsp00001cedIo,NC(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)OC1CCC2(CC1)OCCO2,NC(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)OC1CCC2(CC1)OCCO2,-33.28336359238092,1.117569571220054,-25.40415857142854,1.0457972492008636,-9.234
ZINCnQ0000041pFY,Cn1cc(CCC(=O)Oc2cc(F)ccc2Br)c2ccccc21,Cn1cc(CCC(=O)Oc2cc(F)ccc2Br)c2ccccc21,-33.28321309676191,0.25322664579133397,-27.826452142857136,0.25451066105837516,-9.676
ZINCoU00000763Ik,Cc1cc(C)c(OC(=O)CCc2c[nH]c3ccc(C)cc23)c(Br)c1,Cc1cc(C)c(OC(=O)CCc2c[nH]c3ccc(C)cc23)c(Br)c1,-33.282961327809446,0.40969865415622136,-28.2687516666666,0.2993138157602506,-9.539
ZINCpH000001p6Wt,Cc1ccc2c(CCC(=O)Oc3ccc4oc(=O)oc4c3)c[nH]c2c1,Cc1ccc2c(CCC(=O)Oc3ccc4oc(=O)oc4c3)c[nH]c2c1,-33.282873364571415,0.3613846379525831,-27.559300714285712,0.18599565854644243,-9.371
ZINCtS00000mjW0s,Cc1[nH]c2ccccc2c1CCC(=O)Oc1ccc(NC(=O)c2ccco2)cc1,Cc1[nH]c2ccccc2c1CCC(=O)Oc1ccc(NC(=O)c2ccco2)cc1,-33.282747171238114,0.6463645676735931,-29.29464595238096,0.5799079383879763,-9.732
ZINCsS00000ENYcr,Cc1ccc2[nH]cc(CCC(=O)O[C@H]3C[C@@H](c4ccccc4)CCC3=O)c2c1,Cc1ccc2[nH]cc(CCC(=O)O[C@H]3C[C@@H](c4ccccc4)CCC3=O)c2c1,-33.28265130666671,0.3096186900511193,-24.246163809523857,0.22478580830115805,-9.644
